"name","brand","ean","price","grammage","category","sale","image"
"Deine REWE Tafel-Spende","REWE","4337256485302","5.0","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7777542/44537914_digital-image.png"
"Inkee Unicorn Badekugel + Überraschung 1 Stück","NA","4059779018378","3.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8546634/40116482_digital-image.png"
"Febreze Lufterfrischer Lenor Aprilfrisch 185ml","Febreze","8700216238977","3.99","185ml (1 l = 21,57 €)","Haus & Freizeit","False","https://img.rewe-static.de/7600309/43044548_digital-image.png"
"Rosen Kunterbunt ca. 50cm, 12 Stiele, 1 Bund","REWE","8719449091709","3.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9851039/50588517_digital-image.png"
"REWE Beste Wahl Blumenerde 10l","REWE Beste Wahl","4337256544771","2.49","10l (1 l = 0,25 €)","Haus & Freizeit","False","https://img.rewe-static.de/8861795/37721000_digital-image.png"
"Blumenstrauß Asiatische Lilie ca. 50cm, 3 Stiele, 1 Bund","NA","8719449078243","2.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8980434/40361813_digital-image.png"
"Varta Batterien Longlife AA 4 Stück","Varta","4008496525157","3.99","4 Stück","Haus & Freizeit","False","https://img.rewe-static.de/0036225/42148763_digital-image.png"
"Pustefix Seifenblasen Klein 42ml","NA","4001648692103","0.99","42ml","Haus & Freizeit","False","https://img.rewe-static.de/0446379/27790920_digital-image.png"
"Rosen Fairtrade Bunt ca. 40cm, 9 Stiele, 1 Bund","NA","4035684326128","3.79","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9899773/48329024_digital-image.png"
"Luftballons mit Punkten 6 Stück","NA","9557869017836","1.79","6 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8315560/30539349_digital-image.png"
"Tonie - Disney Vaiana","NA","4251192117458","16.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8815652/40023154_digital-image.png"
"Tesa Klebefilm 10mx15mm","Tesa","4042448049681","4.29","10x10m (1 m  = 0,04 €)","Haus & Freizeit","False","https://img.rewe-static.de/7942796/20945872_digital-image.png"
